1355863018  theta= 13.9478 phi= 90.8821
1355863037  theta= 8.8296 phi= 206.956
1355863051  theta= 11.5128 phi= 155.206
1355863068  theta= 22.6634 phi= 154.084
1355863074  theta= 10.6268 phi= 159.849
1355863074  theta= 10.4085 phi= 220.772
1355863109  theta= 5.85711 phi= 86.4194
1355863164  theta= 6.00119 phi= 241.368
1355863268  theta= 11.2506 phi= 312.344
1355863435  theta= 15.791 phi= 72.2392
1355863540  theta= 11.7504 phi= 312.455
1355863567  theta= 50.5253 phi= 306.036
1355863618  theta= 6.54377 phi= 90.8518
1355863670  theta= 15.9546 phi= 69.3072
1355863681  theta= 12.9238 phi= 181.809
1355863684  theta= 5.34958 phi= 356.9
1355863931  theta= 17.4909 phi= 350.927
1355863936  theta= 47.2832 phi= 130.139
1355864007  theta= 11.3522 phi= 120.027
1355864013  theta= 11.4222 phi= 256.55
1355864058  theta= 14.9306 phi= 315.526
1355864070  theta= 29.0246 phi= 268.609
1355864140  theta= 22.3741 phi= 70.1269
1355864159  theta= 16.7647 phi= 147.663
1355864266  theta= 11.2102 phi= 141.884
1355864315  theta= 22.5056 phi= 350.446
1355864333  theta= 17.2064 phi= 87.202
1355864353  theta= 28.5074 phi= 63.3462
1355864372  theta= 7.79291 phi= 238.788
1355864395  theta= 17.1209 phi= 155.514
1355864405  theta= 7.17325 phi= 77.7281
1355864466  theta= 20.6878 phi= 283.254
1355864580  theta= 40.1216 phi= 35.4897
1355864591  theta= 4.9892 phi= 202.497
1355864600  theta= 10.5477 phi= 245.361
1355864604  theta= 5.02539 phi= 324.048
1355864653  theta= 13.8059 phi= 147.543
1355864660  theta= 17.2106 phi= 245.5
1355864725  theta= 24.4963 phi= 217.621
1355864743  theta= 15.2924 phi= 75.3113
1355864808  theta= 22.9075 phi= 208.977
1355864822  theta= 21.7421 phi= 124.427
1355864847  theta= 14.4142 phi= 149.038
1355864876  theta= 14.9698 phi= 84.552
1355864904  theta= 25.6254 phi= 322.514
1355864941  theta= 23.2546 phi= 87.0251
1355864977  theta= 20.69 phi= 18.4701
1355864990  theta= 24.5385 phi= 276.738
1355865105  theta= 5.10078 phi= 225.607
1355865124  theta= 15.3836 phi= 185.891
1355865137  theta= 13.8495 phi= 239.723
1355865258  theta= 7.49594 phi= 122.589
1355865261  theta= 18.6359 phi= 162.176
1355865332  theta= 21.7762 phi= 344.389
1355865403  theta= 29.4697 phi= 23.8161
1355865487  theta= 9.15026 phi= 204.342
1355865508  theta= 4.07896 phi= 39.6392
1355865519  theta= 11.9323 phi= 298.02
1355865575  theta= 11.2041 phi= 71.7569
1355865655  theta= 9.51577 phi= 147.12
1355865802  theta= 7.31961 phi= 247.828
1355865815  theta= 16.3887 phi= 321.285
1355865855  theta= 9.44044 phi= 237.381
1355865941  theta= 27.632 phi= 154.086
1355865949  theta= 11.5434 phi= 189.572
1355865964  theta= 13.2797 phi= 16.5797
1355865967  theta= 6.13097 phi= 183.79
1355865996  theta= 19.3982 phi= 292.176
1355866009  theta= 6.7262 phi= 242.473
1355866041  theta= 20.6029 phi= 141.128
1355866229  theta= 9.83885 phi= 285.864
1355866245  theta= 19.0364 phi= 250.554
1355866255  theta= 5.25736 phi= 78.3685
1355866410  theta= 3.88264 phi= 130.579
1355866435  theta= 17.6571 phi= 315.986
1355866482  theta= 20.6893 phi= 0.817708
1355866495  theta= 14.6654 phi= 147.472
1355866551  theta= 20.8825 phi= 237.162
1355866628  theta= 17.4948 phi= 121.933
1355866648  theta= 21.2405 phi= 199.006
1355866689  theta= 22.8628 phi= 299.602
1355866719  theta= 2.06779 phi= 327.927
1355866744  theta= 12.0284 phi= 327.513
1355866784  theta= 9.88311 phi= 193.246
1355866792  theta= 3.23492 phi= 280.627
1355866813  theta= 9.81007 phi= 261.258
1355866843  theta= 14.0028 phi= 208.094
1355866881  theta= 11.4439 phi= 245.472
1355866882  theta= 15.1574 phi= 87.2766
1355866889  theta= 16.7106 phi= 73.2199
1355866895  theta= 12.1551 phi= 259.045
1355866975  theta= 6.19803 phi= 42.9865
1355867019  theta= 16.1114 phi= 272.149
1355867084  theta= 5.68293 phi= 131.979
1355867110  theta= 14.3336 phi= 20.2567
1355867117  theta= 5.76978 phi= 228.79
1355867145  theta= 29.6322 phi= 31.8865
1355867174  theta= 7.82957 phi= 259.905
1355867194  theta= 25.9833 phi= 311.577
1355867281  theta= 13.3064 phi= 80.3346
1355867297  theta= 13.5564 phi= 141.406
1355867365  theta= 13.4368 phi= 96.3984
1355867380  theta= 8.71007 phi= 249.871
1355867395  theta= 26.1052 phi= 222.894
1355867406  theta= 15.1092 phi= 279.423
1355867478  theta= 20.4863 phi= 185.124
1355867521  theta= 8.4038 phi= 172.467
1355867532  theta= 5.73112 phi= 13.43
1355867553  theta= 13.4172 phi= 260.575
1355867622  theta= 23.7034 phi= 103.887
1355867642  theta= 12.7663 phi= 9.19066
1355867682  theta= 26.0274 phi= 330.39
1355867727  theta= 20.1727 phi= 231.33
1355867778  theta= 19.4353 phi= 239.054
1355867825  theta= 19.982 phi= 242.652
1355867829  theta= 23.9945 phi= 27.3072
1355867831  theta= 9.9746 phi= 113.933
1355867874  theta= 22.8487 phi= 21.4798
1355867883  theta= 26.4693 phi= 81.3705
1355867891  theta= 7.18397 phi= 20.2878
1355867997  theta= 10.5837 phi= 18.9005
1355868091  theta= 15.5616 phi= 110.618
1355868093  theta= 15.313 phi= 103.172
1355868151  theta= 18.6774 phi= 82.7058
1355868180  theta= 20.3703 phi= 25.205
1355868182  theta= 19.1757 phi= 351.704
1355868187  theta= 15.351 phi= 22.6266
1355868195  theta= 19.6964 phi= 129.741
1355868201  theta= 16.8669 phi= 209.801
1355868277  theta= 9.55113 phi= 38.7533
1355868286  theta= 20.8994 phi= 208.907
1355868324  theta= 3.39842 phi= 140.993
1355868338  theta= 11.5924 phi= 311.607
